id,username,target,predicted,confidence,correct,mode,manual,point_count,created_at
1,admin,eye,eye,0.6905261278152466,1,mouse,0,139,2026-06-21T14:45:34.296154+00:00
2,admin,lightning,,0.0,0,camera,0,0,2026-06-22T00:14:51.511277+00:00
3,admin,moon,diamond,0.4332018792629242,0,camera,0,432,2026-06-22T00:19:03.248051+00:00
4,admin,fish,star,0.1163090318441391,0,mouse,0,21,2026-06-22T00:20:03.314925+00:00
5,admin,pants,bowtie,0.9982180595397949,0,mouse,0,238,2026-06-22T00:21:03.197689+00:00
6,admin,t-shirt,,0.0,0,camera,0,0,2026-06-22T00:24:33.531679+00:00
7,admin,t-shirt,t-shirt,0.9218829870223999,1,camera,0,0,2026-06-22T00:25:02.396638+00:00
8,admin,leaf,,0.0,0,camera,0,0,2026-06-22T00:25:33.534770+00:00
9,admin,baseball,baseball,0.7174627780914307,1,mouse,0,366,2026-06-22T00:25:41.897993+00:00
10,admin,pants,pants,0.4083150029182434,0,mouse,0,324,2026-06-22T00:26:38.282468+00:00
11,admin,apple,apple,0.8791816830635071,1,mouse,0,347,2026-06-22T00:26:58.065546+00:00
12,admin,diamond,diamond,0.9943937063217163,1,mouse,0,291,2026-06-22T00:27:08.321281+00:00
13,admin,door,door,0.5154150724411011,0,mouse,0,336,2026-06-22T00:28:04.232229+00:00
14,admin,lightning,,0.0,0,mouse,0,0,2026-06-22T00:29:04.556704+00:00
15,admin,lightning,lightning,0.7730194330215454,1,mouse,0,0,2026-06-22T00:52:56.330251+00:00
16,admin,envelope,envelope,0.9948374032974243,1,mouse,0,350,2026-06-22T00:53:13.707460+00:00
17,admin,scissors,scissors,0.974709689617157,1,mouse,0,227,2026-06-22T00:53:26.949093+00:00
18,admin,book,door,0.5810431838035583,0,mouse,0,367,2026-06-22T00:54:17.220683+00:00
19,admin,fish,fish,0.999287486076355,1,mouse,0,381,2026-06-22T00:54:29.916296+00:00
20,admin,leaf,diamond,0.6120196580886841,0,mouse,0,320,2026-06-22T00:55:28.158242+00:00
21,admin,t-shirt,t-shirt,0.7295637130737305,1,mouse,0,0,2026-06-22T00:55:40.100721+00:00
22,admin,bowtie,bowtie,0.9838988184928894,1,mouse,0,207,2026-06-22T00:55:50.313918+00:00
23,admin,baseball,baseball,0.783778965473175,1,mouse,0,338,2026-06-22T00:56:03.493869+00:00
24,admin,door,door,0.7912340760231018,1,mouse,0,244,2026-06-22T00:56:14.889496+00:00
25,admin,pants,pants,0.3914567828178406,0,mouse,0,399,2026-06-22T00:57:07.120689+00:00
26,admin,pants,pants,0.5215504765510559,0,mouse,0,399,2026-06-22T00:57:32.972465+00:00
27,admin,pants,pants,0.5215504765510559,0,mouse,0,399,2026-06-22T00:57:33.636343+00:00
28,admin,pants,pants,0.5215504765510559,0,mouse,0,399,2026-06-22T00:57:33.850949+00:00
29,admin,pants,pants,0.5215504765510559,0,mouse,0,399,2026-06-22T00:57:34.059596+00:00
30,admin,pants,pants,0.5215504765510559,0,mouse,0,399,2026-06-22T00:57:34.252931+00:00
31,admin,pants,pants,0.5215504765510559,0,mouse,0,399,2026-06-22T00:57:34.457998+00:00
32,admin,pants,pants,0.5215504765510559,0,mouse,0,399,2026-06-22T00:57:34.634382+00:00
33,admin,hat,hat,0.9972381591796875,1,mouse,0,266,2026-06-22T00:57:52.421834+00:00
34,admin,square,square,0.9658442735671997,1,mouse,0,0,2026-06-22T00:58:00.198226+00:00
35,admin,apple,apple,0.9278362393379211,1,mouse,0,316,2026-06-22T00:58:10.392241+00:00
36,admin,dog,dog,0.8131967782974243,1,mouse,0,648,2026-06-22T00:58:30.818733+00:00
37,admin,envelope,envelope,0.9957224726676941,1,mouse,0,394,2026-06-22T00:58:44.644341+00:00
38,admin,scissors,scissors,0.813634991645813,1,mouse,0,168,2026-06-22T00:58:55.400366+00:00
39,admin,baseball,baseball,0.9813759922981262,1,mouse,0,325,2026-06-22T00:59:25.414465+00:00
40,admin,moon,moon,0.993322491645813,1,mouse,0,126,2026-06-22T00:59:30.808583+00:00
41,admin,leaf,leaf,0.6052983999252319,1,mouse,0,339,2026-06-22T00:59:50.641302+00:00
42,admin,eye,eye,0.679481565952301,1,mouse,0,425,2026-06-22T01:00:11.625912+00:00
43,admin,t-shirt,t-shirt,0.7984836101531982,1,mouse,0,0,2026-06-22T01:00:24.844698+00:00
44,admin,book,door,0.4455873966217041,0,mouse,0,458,2026-06-22T01:00:46.435250+00:00
45,admin,pants,pants,0.40939679741859436,0,mouse,0,284,2026-06-22T01:01:05.583907+00:00
46,admin,pants,door,0.47044095396995544,0,mouse,0,284,2026-06-22T01:01:06.202771+00:00
47,admin,pants,door,0.36252936720848083,0,mouse,0,284,2026-06-22T01:01:10.432341+00:00
48,admin,lightning,door,0.503594160079956,0,mouse,0,0,2026-06-22T01:01:11.266091+00:00
49,admin,eye,eye,0.6873354911804199,1,mouse,0,467,2026-06-22T03:00:04.694759+00:00
50,admin,fish,fish,0.8904110789299011,1,mouse,0,456,2026-06-22T03:00:37.708569+00:00
51,admin,door,door,0.9579688906669617,1,mouse,0,328,2026-06-22T03:00:51.579814+00:00
52,admin,star,star,0.9880861043930054,1,mouse,0,0,2026-06-22T03:01:07.100251+00:00
53,admin,bowtie,bowtie,0.8845434188842773,1,mouse,0,164,2026-06-22T03:01:18.512736+00:00
54,admin,hat,hat,0.9969631433486938,1,mouse,0,445,2026-06-22T03:01:32.926397+00:00
55,admin,lightning,lightning,0.9824752807617188,1,mouse,0,0,2026-06-22T03:01:40.104829+00:00
56,admin,dog,dog,0.30901676416397095,0,mouse,0,0,2026-06-22T03:02:19.192814+00:00
57,admin,book,,0.0,0,mouse,0,0,2026-06-22T03:02:21.544723+00:00
58,admin,scissors,scissors,0.9987010955810547,1,mouse,0,183,2026-06-22T03:02:29.902166+00:00
59,admin,envelope,envelope,0.9988349676132202,1,mouse,0,410,2026-06-22T03:02:42.495155+00:00
60,admin,baseball,baseball,0.8896812200546265,1,mouse,0,425,2026-06-22T03:02:54.495312+00:00
61,admin,diamond,diamond,0.9940454363822937,1,mouse,0,248,2026-06-22T03:03:03.472013+00:00
62,admin,leaf,diamond,0.82342129945755,0,mouse,0,370,2026-06-22T03:03:25.205686+00:00
63,admin,leaf,diamond,0.82342129945755,0,camera,0,370,2026-06-22T03:05:26.043891+00:00
